id,title,cuisine,difficulty,total_time,variant_type,protein_type,base_recipe,issues
af973f2b-08a7-4f70-a529-01b733bdfacf,Parsi Rotli Recipe - Parsi Style Rotis,indian,medium,30,standard,vegetarian,Parsi Rotli Recipe - Parsi Rotis,veg_tags_with_meat_words
e5ebe671-33a9-4c90-abf2-733bf17ea3a5,Penne Pasta In White Sauce Recipe,indian,hard,30,standard,vegetarian,Penne Pasta In White Sauce Recipe,veg_tags_with_meat_words
5e059318-140a-4389-b973-8b0e2f5e789e,Pistachio & Cranberry Broken Wheat Pilaf Recipe,indian,easy,30,standard,vegetarian,Pistachio & Cranberry Broken Wheat Pilaf Recipe,veg_tags_with_meat_words
94ac7765-7412-4d75-8b32-001a7c389dfe,Podi Potta Pachhai Kathirikai | Brinjal Stir Fry Recipe With Curry Powder,indian,easy,30,standard,vegetarian,Podi Potta Pachhai Kathirikai | Brinjal Stir Fry Recipe With Curry Powder,veg_tags_with_meat_words
a637797e-e01d-4c84-b5cd-9130b795a429,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),indian,medium,30,standard,vegetarian,Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),veg_tags_with_meat_words
72889cee-6dec-471d-b44e-cef4fe285d09,Qahwa | Arabic Coffee Recipe,indian,easy,30,standard,vegetarian,Qahwa | Arabic Coffee Recipe,veg_tags_with_meat_words
6493a973-a82a-4cf6-ab9f-f76414908c2c,Roasted Bell Pepper Quinoa Recipe,indian,easy,30,standard,vegetarian,Roasted Bell Pepper Quinoa Recipe,veg_tags_with_meat_words
cf6fa3fe-a1e4-4ed4-99f6-ba92216cb3d8,Savoury Oatmeal Porridge Recipe,indian,easy,30,standard,vegetarian,Savoury Oatmeal Porridge Recipe,veg_tags_with_meat_words
57f803fb-b560-41ec-9c22-477ae02033c9,Sesame Noodles Recipe With Napa Cabbage,indian,easy,30,standard,vegetarian,Sesame Noodles Recipe With Napa Cabbage,veg_tags_with_meat_words
db454a5a-3a0c-47db-a45a-cf5d22ea888e,Spinach Coconut Zucchini Soup Recipe,indian,medium,30,standard,vegetarian,Spinach Coconut Zucchini Soup Recipe,veg_tags_with_meat_words
4556c9c0-d609-480d-9e98-450a3c2c0c4d,The Homemade Hard Taco Shells Recipe,indian,medium,30,standard,vegetarian,The Homemade Hard Taco Shells Recipe,veg_tags_with_meat_words
7a1a0c5a-4d25-4b46-8690-c3ef9794e10d,Tripura Style Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,indian,easy,30,standard,vegetarian,Tripura Kosoi Bwtwi Recipe - Sauteed Tofu & Green Beans Stir Fry With Garlic,veg_tags_with_meat_words
fafd67cb-e34a-47d1-91eb-00e807550a36,Tuna Rasam Bhaji Recipe (Tuna Sabzi Flavored with Rasam Powder),indian,medium,30,standard,vegetarian,Tuna Rasam Bhaji Recipe (Tuna Sabzi Flavored with Rasam Powder),veg_tags_with_meat_words
